
NOTICE: Existing SQLite export found: prod_nsys.sqlite
        It is assumed file was previously exported from: prod_nsys.nsys-rep
        Consider using --force-export=true if needed.

Processing [prod_nsys.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
0.9,1963.7313,9448,0.2078,0.0672,0.0013,2.2365,0.3729,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.8,1927.5003,31232,0.0617,0.0597,0.0593,1.1066,0.0371,stepArticulation1TTGS
0.8,1912.4037,2720,0.7031,0.4219,0.4191,2.7806,0.5522,nvjet_tst_256x144_64x4_1x2_h_bz_coopA_bias_TNT
0.8,1833.1648,253952,0.0072,0.0071,0.0063,1.0487,0.0078,solveBlockUnified
0.7,1711.6939,672,2.5472,0.6356,0.6326,11.4688,3.8802,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
0.7,1701.2668,3672,0.4633,0.4429,0.4394,1.5520,0.1214,nvjet_tst_112x256_64x4_1x2_h_bz_coopA_bias_TNN
0.7,1535.5612,512,2.9991,3.2447,0.6672,7.6128,2.3070,"void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_kernel<Flash_bwd_kernel_traits<(int)64, (int)128, (int)128, (int)8, (int)4, (int)4, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)8, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0>(pytorch_flash::Flash_bwd_params)"
0.6,1426.2240,253952,0.0056,0.0062,0.0012,1.0315,0.0051,artiPropagateImpulses2TGS
0.6,1341.2923,29928,0.0448,0.0042,0.0040,1.7239,0.1233,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
0.6,1268.2725,14592,0.0869,0.0055,0.0019,2.7262,0.2505,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.5,1219.7186,96,12.7054,9.1441,0.0390,74.5465,12.3970,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.5,1161.8726,4032,0.2882,0.0970,0.0475,2.8615,0.4833,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.5,1120.7921,9216,0.1216,0.1221,0.0228,2.6215,0.2615,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
0.5,1046.7997,34816,0.0301,0.0184,0.0179,1.1688,0.0308,nvjet_tst_64x136_64x8_2x1_v_bz_bias_TNT
0.4,1005.5426,32656,0.0308,0.0023,0.0010,1.4560,0.0969,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.4,924.9679,8408,0.1100,0.0287,0.0019,1.8185,0.1964,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
0.4,900.2165,8328,0.1081,0.0326,0.0010,1.5715,0.1835,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,723.9774,3264,0.2218,0.2124,0.2113,1.3203,0.0859,nvjet_tst_128x240_64x4_2x1_v_bz_coopA_TNT
0.3,677.6496,253952,0.0027,0.0027,0.0019,0.0057,0.0002,artiPropagateVelocityTGS
0.3,673.0327,9880,0.0681,0.0243,0.0010,1.4385,0.1302,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,588.9148,5600,0.1052,0.0017,0.0010,2.3829,0.3038,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.3,588.6889,8704,0.0676,0.0637,0.0631,0.8829,0.0547,nvjet_tst_256x136_64x4_2x1_v_bz_coopA_bias_TNT
