
NOTICE: Existing SQLite export found: prod_nsys.sqlite
        It is assumed file was previously exported from: prod_nsys.nsys-rep
        Consider using --force-export=true if needed.

Processing [prod_nsys.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
0.0,12.0952,256,0.0472,0.0532,0.0244,0.0570,0.0112,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::TernaryOpScalarFunctor<c10::BFloat16, (int)2, (int)2, (int)0>, at::native::LerpFunctor<float>, float>(T1, T2, T3...)"
0.0,11.9671,2296,0.0052,0.0012,0.0010,0.2379,0.0277,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,11.7760,256,0.0460,0.0540,0.0159,0.0564,0.0146,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::PointwiseOpScalarFunctor<c10::BFloat16, (int)3, (int)3, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
0.0,11.1579,256,0.0436,0.0483,0.0166,0.0581,0.0128,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::UnaryOpFunctor<c10::BFloat16, (int)2, (int)1, (int)1>, at::native::Sqrt<float>>(T1, T2, T3...)"
0.0,11.0958,571,0.0194,0.0204,0.0034,0.0496,0.0066,convexTrimeshNarrowphase
0.0,9.9002,256,0.0387,0.0418,0.0123,0.8031,0.0492,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<c10::BFloat16, (int)1, (int)1, (int)0>, std::plus<float>, float>(T1, T2, T3...)"
0.0,9.7715,368,0.0266,0.0062,0.0044,0.1420,0.0371,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::BFloat16, at::native::MeanOps<c10::BFloat16, float, float, c10::BFloat16>, unsigned int, c10::BFloat16, (int)4, (int)8>>(T3)"
0.0,8.7688,544,0.0161,0.0143,0.0139,0.0588,0.0046,nvjet_tst_96x64_64x8_1x2_h_bz_splitK_NNN
0.0,8.1838,1080,0.0076,0.0012,0.0011,0.0915,0.0209,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, bool, at::native::<unnamed>::CompareEqFunctor<c10::BFloat16>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,8.1779,544,0.0150,0.0140,0.0138,0.5396,0.0225,nvjet_tst_96x64_64x10_1x1_h_bz_bias_TNN
0.0,7.8528,544,0.0144,0.0130,0.0121,0.8289,0.0350,nvjet_tst_80x64_64x11_1x2_h_bz_bias_TNN
0.0,7.6650,1312,0.0058,0.0058,0.0029,0.0090,0.0022,omni::physx::copyRigidBodyDataKernel(omni::physx::RigidBodyGpuData)
0.0,7.4153,571,0.0130,0.0141,0.0011,0.0178,0.0040,sortTriangleIndices
0.0,7.3690,544,0.0135,0.0121,0.0116,0.0517,0.0031,nvjet_tst_96x128_64x6_2x1_v_bz_NTN
0.0,7.1326,5616,0.0013,0.0013,0.0010,0.0019,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,6.9527,384,0.0181,0.0028,0.0021,0.1938,0.0492,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,6.8562,576,0.0119,0.0116,0.0110,0.1061,0.0055,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,6.8443,464,0.0148,0.0041,0.0022,0.1304,0.0315,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,6.6711,512,0.0130,0.0130,0.0116,0.0180,0.0013,artiSumInternalContactAndJointBatches2Launch
0.0,6.6288,512,0.0129,0.0128,0.0108,0.0153,0.0011,artiTGSContactConstraintBlockPrepareLaunch
0.0,6.5982,2600,0.0025,0.0026,0.0021,0.0033,0.0003,update_actuator_state_model_1a46b940_cuda_kernel_forward
0.0,6.5323,701,0.0093,0.0105,0.0044,0.0121,0.0024,finishContactsKernel
0.0,6.2662,512,0.0122,0.0115,0.0100,0.0156,0.0016,updateTransformCacheAndBoundArrayLaunch
0.0,6.2106,32,0.1941,0.1963,0.1830,0.1980,0.0050,nvjet_tst_512x16_64x3_1x1_v_bz_TNT
0.0,6.0032,1792,0.0033,0.0033,0.0027,0.0080,0.0003,prepareLostFoundPairs_Stage2
0.0,5.8099,32,0.1816,0.1563,0.1548,0.9657,0.1431,nvjet_tst_176x128_64x5_1x2_h_bz_coopA_bias_TNN
0.0,5.7980,571,0.0102,0.0104,0.0036,0.0156,0.0023,midphaseGeneratePairs
0.0,5.3364,576,0.0093,0.0062,0.0059,0.1377,0.0132,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,5.2271,4136,0.0013,0.0012,0.0010,0.0256,0.0004,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,5.1708,2600,0.0020,0.0020,0.0016,0.0028,0.0002,update_targets_acac1b6f_cuda_kernel_forward
0.0,5.0315,168,0.0299,0.0065,0.0063,0.1309,0.0485,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16, bool) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,4.7313,32,0.1479,0.1388,0.0881,0.2251,0.0494,setRigidDynamicGlobalPose
0.0,4.4223,168,0.0263,0.0098,0.0092,0.0982,0.0344,nvjet_tst_128x8_64x12_2x1_v_bz_TNT
0.0,4.3732,32,0.1367,0.1203,0.1189,0.6453,0.0928,nvjet_tst_512x8_64x3_1x1_v_bz_NNT
0.0,4.2804,3336,0.0013,0.0013,0.0010,0.0018,0.0002,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,4.2219,512,0.0082,0.0081,0.0077,0.0097,0.0004,constraintContactBlockPrePrepLaunch
0.0,3.9618,2112,0.0019,0.0018,0.0015,0.0033,0.0003,setArtiDofStates
0.0,3.9510,2600,0.0015,0.0015,0.0013,0.0017,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_kernel_impl(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float, float) (instance 1)], std::array<char *, (unsigned long)4>>(int, T2, T3)"
0.0,3.8240,32,0.1195,0.1186,0.1170,0.1347,0.0033,nvjet_tst_64x8_64x16_2x1_v_bz_TNT
0.0,3.6316,168,0.0216,0.0077,0.0074,0.0820,0.0288,nvjet_tst_128x8_64x12_1x1_v_bz_NNT
0.0,3.5581,571,0.0062,0.0061,0.0060,0.0335,0.0012,convexTrimeshPostProcess
0.0,3.5536,2112,0.0017,0.0017,0.0014,0.0024,0.0002,"omni::physx::tensors::submitArtiDofAttributeKernel(float *, const float *, const unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int, unsigned int, const omni::physx::tensors::GpuArticulationDofRecord *)"
0.0,3.5025,408,0.0086,0.0086,0.0084,0.0090,0.0001,reshape_tiled_image_fb0b5b4e_cuda_kernel_forward
0.0,3.2573,512,0.0064,0.0063,0.0050,0.0107,0.0007,performIncrementalSAP
0.0,3.2542,64,0.0508,0.0787,0.0077,0.0987,0.0397,nvjet_tst_256x16_64x6_2x1_v_bz_TNT
0.0,3.2287,512,0.0063,0.0055,0.0051,0.0137,0.0016,preIntegrationLaunchTGS
0.0,3.2086,1792,0.0018,0.0018,0.0015,0.0022,0.0001,prepareLostFoundPairs_Stage1
0.0,3.1272,1536,0.0020,0.0020,0.0017,0.0031,0.0002,bpSignalComplete
0.0,3.0556,544,0.0056,0.0057,0.0052,0.0060,0.0002,nvjet_tst_128x16_64x11_2x1_v_bz_NNT
0.0,2.9037,1328,0.0022,0.0021,0.0015,0.1360,0.0041,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2.8969,512,0.0057,0.0055,0.0049,0.0071,0.0005,writebackBlocksTGS
0.0,2.8105,1544,0.0018,0.0018,0.0015,0.0035,0.0002,getArtiDofStates
0.0,2.7916,32,0.0872,0.0872,0.0862,0.0885,0.0007,nvjet_tst_256x16_64x6_2x1_v_bz_NNT
0.0,2.7712,136,0.0204,0.0204,0.0198,0.0210,0.0003,"void cudnn::engines_precompiled::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<T3>, const T1 *, T2 *)"
0.0,2.7030,1792,0.0015,0.0015,0.0011,0.0020,0.0002,updateFrictionPatches
0.0,2.6967,984,0.0027,0.0028,0.0021,0.0308,0.0010,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,2.6290,1328,0.0020,0.0020,0.0014,0.0045,0.0004,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2.6279,1536,0.0017,0.0017,0.0013,0.0025,0.0002,update_timestamp_kernel_71be0a73_cuda_kernel_forward
0.0,2.6137,571,0.0046,0.0048,0.0014,0.0065,0.0009,convexTrimeshFinishContacts
0.0,2.4797,512,0.0048,0.0047,0.0044,0.0058,0.0003,updateBodiesLaunch_Part2
0.0,2.4750,520,0.0048,0.0047,0.0039,0.0064,0.0004,sphereNphase_Kernel
0.0,2.4185,1488,0.0016,0.0016,0.0012,0.0022,0.0002,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,2.4117,1792,0.0013,0.0014,0.0011,0.0018,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,2.3628,701,0.0034,0.0032,0.0022,0.0052,0.0007,convexConvexNphase_stage1Kernel
0.0,2.3269,408,0.0057,0.0057,0.0055,0.0060,0.0001,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(unsigned char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,2.3238,1936,0.0012,0.0012,0.0010,0.0025,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2.2383,1544,0.0014,0.0015,0.0012,0.0021,0.0002,"omni::physx::tensors::fetchArtiDofAttributeKernel(float *, const float *, unsigned int, unsigned int, unsigned int, const omni::physx::tensors::GpuArticulationDofRecord *)"
0.0,2.1858,408,0.0054,0.0054,0.0048,0.0058,0.0002,"void textureCopyToRawBufferKernel<uchar4>(unsigned long long, T1 *, unsigned int, unsigned int)"
0.0,2.1659,544,0.0040,0.0040,0.0038,0.0044,0.0001,nvjet_tst_64x8_64x16_1x2_h_bz_NNT
0.0,2.1624,856,0.0025,0.0020,0.0015,0.0045,0.0008,"void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::device_select_policy_hub<long, bool, int, (bool)0, (bool)0>::Policy900, at_cuda_detail::cub::CountingInputIterator<long, long>, at_cuda_detail::cub::TransformInputIterator<bool, at::native::<unnamed>::NonZeroOp<bool>, const bool *, long>, long *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, at_cuda_detail::cub::NullType, at_cuda_detail::cub::NullType, int, (bool)0, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, at_cuda_detail::cub::detail::vsmem_t)"
0.0,2.1398,512,0.0042,0.0038,0.0032,0.0062,0.0009,updateAggregateBounds
0.0,2.0106,1280,0.0016,0.0015,0.0011,0.0037,0.0003,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1.9463,944,0.0021,0.0021,0.0013,0.0034,0.0004,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::DivFunctor<c10::BFloat16>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,1.8876,1056,0.0018,0.0018,0.0015,0.0022,0.0002,"void at::native::cross_kernel<float, OffsetCalculator<(int)3, unsigned int, (bool)0>, int>(int, T1 *, const T1 *, const T1 *, T2, T3, T3, T3)"
0.0,1.8507,1184,0.0016,0.0016,0.0012,0.0021,0.0002,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1.7735,512,0.0035,0.0035,0.0032,0.0036,0.0001,artiSumSelfContactAndJointBatches
0.0,1.7340,672,0.0026,0.0026,0.0019,0.0035,0.0003,getArtiTransformStates
0.0,1.7280,1024,0.0017,0.0017,0.0013,0.0022,0.0002,get_joint_acc_from_joint_vel_2ab71688_cuda_kernel_forward
0.0,1.6849,712,0.0024,0.0025,0.0019,0.0030,0.0003,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,1.6389,744,0.0022,0.0022,0.0020,0.0025,0.0001,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctorOnOther_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1.6285,512,0.0032,0.0032,0.0030,0.0036,0.0001,rigidSumInternalContactAndJointBatches2
0.0,1.6083,1024,0.0016,0.0016,0.0012,0.0021,0.0002,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::CompareFunctor<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1.5772,576,0.0027,0.0025,0.0024,0.0074,0.0011,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,1.5761,1392,0.0011,0.0011,0.0008,0.0026,0.0001,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,1.5582,576,0.0027,0.0025,0.0024,0.0070,0.0010,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)128, (int)1, (int)16, (int)4>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,1.5533,576,0.0027,0.0027,0.0024,0.0116,0.0004,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::<unnamed>::silu_backward_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16, c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,1.5434,1152,0.0013,0.0013,0.0012,0.0017,0.0001,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::log_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1.5425,912,0.0017,0.0017,0.0013,0.0024,0.0002,getRigidDynamicGlobalPose
0.0,1.5423,512,0.0030,0.0030,0.0027,0.0034,0.0001,updateBodiesLaunch_Part3
0.0,1.5245,512,0.0030,0.0029,0.0025,0.0041,0.0003,markUpdatedPairsLaunch
0.0,1.5203,1504,0.0010,0.0010,0.0008,0.0015,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,1.4884,1024,0.0015,0.0014,0.0011,0.0021,0.0002,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,1.4773,512,0.0029,0.0029,0.0027,0.0037,0.0001,outputEndPtsHistogram
0.0,1.4398,848,0.0017,0.0016,0.0012,0.0026,0.0003,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1.4267,512,0.0028,0.0028,0.0024,0.0036,0.0001,computeIncrementalComparisonHistograms_Stage1
0.0,1.4060,571,0.0025,0.0023,0.0014,0.0093,0.0011,convexTrimeshCorrelate
0.0,1.3989,1152,0.0012,0.0012,0.0011,0.0015,0.0001,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(bool, c10::BFloat16, c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)4>>(int, T2, T3)"
0.0,1.3925,1152,0.0012,0.0011,0.0009,0.0729,0.0026,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,1.3601,576,0.0024,0.0021,0.0020,0.0066,0.0010,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1.3532,608,0.0022,0.0021,0.0016,0.0046,0.0006,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1.3205,480,0.0028,0.0025,0.0022,0.0152,0.0010,"void at_cuda_detail::cub::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy900, (bool)0, long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long, at_cuda_detail::cub::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,1.2901,512,0.0025,0.0025,0.0021,0.0031,0.0002,integrateCoreParallelLaunchTGS
0.0,1.2523,544,0.0023,0.0023,0.0018,0.0032,0.0003,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)4>, long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1.2474,512,0.0024,0.0024,0.0022,0.0030,0.0002,computeIncrementalComparisonHistograms_Stage2
0.0,1.2460,512,0.0024,0.0024,0.0022,0.0050,0.0002,markAggregateBoundsUpdatedBitmap
0.0,1.2441,680,0.0018,0.0018,0.0017,0.0021,0.0000,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::BFloat16, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.0,1.2189,512,0.0024,0.0022,0.0019,0.0045,0.0004,accumulateReportsStage_2
0.0,1.2159,8,0.1520,0.1528,0.1475,0.1537,0.0021,artiUpdateKinematic
0.0,1.2122,512,0.0024,0.0023,0.0019,0.0042,0.0003,updateHandles
0.0,1.1958,768,0.0016,0.0016,0.0012,0.0020,0.0002,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1.1790,512,0.0023,0.0023,0.0021,0.0035,0.0001,computeEndPtsHistogram
0.0,1.1507,512,0.0022,0.0023,0.0021,0.0025,0.0001,artiSumInternalContactAndJointBatches1Launch
0.0,1.1207,576,0.0019,0.0020,0.0016,0.0194,0.0008,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)4>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,1.1140,384,0.0029,0.0029,0.0024,0.0035,0.0003,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,1.0995,168,0.0065,0.0066,0.0062,0.0068,0.0001,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)2>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,1.0965,512,0.0021,0.0021,0.0020,0.0036,0.0001,removeAggPairsStage2
0.0,1.0955,432,0.0025,0.0026,0.0020,0.0031,0.0002,_camera_update_state_kernel_d0380361_cuda_kernel_forward
0.0,1.0906,768,0.0014,0.0014,0.0011,0.0019,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1.0732,856,0.0013,0.0013,0.0009,0.0017,0.0002,"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
